actual_tweets,final_sentiment,clean_tweets,positive_count,negative_count
Nova Scotia to honour beloved folk artist Maud Lewis for Heritage Day Halifax ,Positive,nova scotia honour beloved folk artist maud lewis heritage halifax,3,1
 NonLeaguePaper Solihull to definitely win the league the other team to be promoted probably Leyton orient and to ,Neutral,nonleaguepaper solihull definitely league team promoted probably leyton orient,0,0
RT KeithAdkinsGB Wonga refusing to give me a loan Only 1 fing for it marched down to halifax bank Fists at the ready baseball bat in ,Negative,keithadkinsgb wonga refusing loan  fing marched halifax bank fists baseball bat,1,5
I m ready to come home Halifax Toronto has been a blast and I m excited for my last week and to come back soon h ,Positive,home halifax toronto blast excited week soon,2,1
How call centre saviour Anthony Marlowe is capitalizing on Cape Breton Without a saviour waiting in the wings Mar ,Neutral,call centre saviour anthony marlowe capitalizing cape breton saviour waiting wings mar,1,1
 KeithFridrich JimmyMiting tedpretty It was definitely commenting complaining in jest I recognize weather is far ,Neutral,keithfridrich jimmymiting tedpretty definitely commenting complaining jest recognize weather,2,2
The wireless operator of a Handley Page Halifax of No 35 Squadron RAF in his position prior to take off at Linton ,Negative,wireless operator handley page halifax  squadron raf position prior linton,0,2
After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations ,Neutral,wilson raybould cartoon halifax artist stop drawing women violent situations,2,2
These bald puppies are recovering after being dumped in two separate incidents in Halifax ,Negative,bald puppies recovering dumped separate incidents halifax,1,5
All aboard RonMacLeanHTH and TaraSlone are taken aboard the HMCS Vancouver a Halifax class Canadian Patrol Frig ,Neutral,aboard ronmacleanhth taraslone aboard hmcs vancouver halifax class canadian patrol frig,2,2
RT alanthomasdoyle Eastern Canadians Unite Salad is trying to Kill us all We shall retaliate with Mary Browns in St John s Donairs ,Negative,alanthomasdoyle eastern canadians unite salad trying kill retaliate mary browns john donairs,0,4
RT alanthomasdoyle Eastern Canadians Unite Salad is trying to Kill us all We shall retaliate with Mary Browns in St John s Donairs ,Negative,alanthomasdoyle eastern canadians unite salad trying kill retaliate mary browns john donairs,0,4
RT PSCofCanada In Halifax and have a priority entitlement Find out how to maximize it Register now for our info sessions happening Febr ,Negative,pscofcanada halifax priority entitlement maximize register info sessions happening febr,0,1
RT rostragallery ROMAN BATHS Why not explore the RomanBathsBath and our popupexhibition in MilsomPlace for some halftermfun this we ,Neutral,rostragallery roman baths explore romanbathsbath popupexhibition milsomplace halftermfun,1,1
RT BBCLookNorth These bald puppies are recovering after being dumped in two separate incidents in Halifax https ,Negative,bbclooknorth bald puppies recovering dumped separate incidents halifax https,1,5
 GoodsOnSports UniWatch sportslogosnet I have to go with Halifax That logo is electric ,Negative,goodsonsports uniwatch sportslogosnet halifax logo electric,1,2
RT alanthomasdoyle Eastern Canadians Unite Salad is trying to Kill us all We shall retaliate with Mary Browns in St John s Donairs ,Negative,alanthomasdoyle eastern canadians unite salad trying kill retaliate mary browns john donairs,0,4
RT alanthomasdoyle Eastern Canadians Unite Salad is trying to Kill us all We shall retaliate with Mary Browns in St John s Donairs ,Negative,alanthomasdoyle eastern canadians unite salad trying kill retaliate mary browns john donairs,0,4
RT CollettLtd ATF Approved Test Facility Operative required to join our Halifax Team ATF Tachograph TestC ,Negative,collettltd atf approved facility operative required join halifax team atf tachograph testc,1,2
RT alanthomasdoyle Eastern Canadians Unite Salad is trying to Kill us all We shall retaliate with Mary Browns in St John s Donairs ,Negative,alanthomasdoyle eastern canadians unite salad trying kill retaliate mary browns john donairs,0,4
RT WW2Facts The wireless operator of a Handley Page Halifax of No 35 Squadron RAF in his position prior to take off at Linton On Ouse ,Negative,wwfacts wireless operator handley page halifax  squadron raf position prior linton ouse,0,2
RT fonalleras El partit Llei i Just cia PiS autoritari i xen fob que s ha carregat l estat de dret a Pol nia convida VOX a fer una x ,Neutral,fonalleras partit llei cia pis autoritari xen fob que carregat estat dret pol nia convida vox una,0,0
All aboard RonMacLeanHTH and TaraSlone are taken aboard the HMCS Vancouver a Halifax class Canadian Patrol Frig ,Neutral,aboard ronmacleanhth taraslone aboard hmcs vancouver halifax class canadian patrol frig,2,2
After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations ,Neutral,wilson raybould cartoon halifax artist stop drawing women violent situations,2,2
These bald puppies are recovering after being dumped in two separate incidents in Halifax ,Negative,bald puppies recovering dumped separate incidents halifax,1,5
So katemac35 and I are back from our fun little two day trip to Halifax I had a great time with my fantastic bett ,Neutral,katemac fun little trip halifax time fantastic,2,2
 MartinSLewis Been turned down twice by Halifax for PPl claim they have said they will not look at this again even ,Negative,martinslewis twice halifax ppl claim look,0,2
 NonLeaguePaper 1 Leyton Orient 2 Salford 21 Halifax 22 Aldershot 23 Maidstone 24 Braintree,Neutral,nonleaguepaper  leyton orient  salford  halifax  aldershot  maidstone  braintree,1,1
 ms manutd The fuckwits do my head in They should fuck off and support Halifax Town or some other shite lower leag ,Negative,manutd fuckwits head fuck support halifax town shite lower leag,1,3
Man rushed to hospital after falling from ladder at Halifax work lokol halifax,Negative,rushed hospital falling ladder halifax lokol halifax,0,3
 STEPHEN THE SALMON TYRER Second in the list of all time record points scorers for Halifax amp now 100 Fax trie ,Negative,stephen salmon tyrer list time record scorers halifax amp  fax trie,0,1
RT WYP BenDoughty OpHawmill our Partnership road safety operation focused on the Halifax area yesterday 2 x vehicles seized 4 x no s ,Negative,wyp bendoughty ophawmill partnership road safety operation focused halifax yesterday  vehicles seized ,1,2
 NonLeaguePaper Orient Salford Halifax Aldershot Maidstone Braintree,Neutral,nonleaguepaper orient salford halifax aldershot maidstone braintree,1,1
RT AsiliAnga GreenNewDeal YoungandRising Powershift BCpoli Vanpoli Nanaimo Burnaby ABleg yyc Edmonton SKpoli yqr MBpoli Wpg ,Negative,asilianga greennewdeal youngandrising powershift bcpoli vanpoli nanaimo burnaby ableg yyc edmonton skpoli yqr mbpoli wpg,0,2
Booked flights Norwegian Airlines using credit card if they go under am I entitled to a refund I also have travel ,Positive,booked flights norwegian airlines using credit card entitled refund travel,3,1
100 years after the anti Chinese riots in Halifax ,Negative, chinese riots halifax,0,1
Halifax artist apologizes for controversial cartoon of Jody Wilson Raybould ,Negative,halifax artist apologizes controversial cartoon jody wilson raybould,0,2
Eastern Canadians Unite Salad is trying to Kill us all We shall retaliate with Mary Browns in St John s Donai ,Negative,eastern canadians unite salad trying kill retaliate mary browns john donai,0,4
All aboard RonMacLeanHTH and TaraSlone are taken aboard the HMCS Vancouver a Halifax class Canadian Patrol Frig ,Neutral,aboard ronmacleanhth taraslone aboard hmcs vancouver halifax class canadian patrol frig,2,2
After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations ,Neutral,wilson raybould cartoon halifax artist stop drawing women violent situations,2,2
Thank you to Rep EricaForNC for supporting school calendar flexibility for BCoSchools Edenton Chowan Edgecomb ,Positive,thank rep ericafornc supporting school calendar flexibility bcoschools edenton chowan edgecomb,4,1
 Job Senior Civil Structural Engineer Company Hatch Location Halifax NS Nova Scotia Canada Halifax ,Negative,job senior civil structural engineer company hatch location halifax nova scotia canada halifax,0,2
RT Daily Express Fury after three completely BALD puppies dumped by cruel owner RSPCA issue alert ,Negative,daily express fury completely bald puppies dumped cruel owner rspca issue alert,0,8
New video published gt Saint John Sea Dogs vs Halifax Mooseheads For more details ,Negative,video published gt saint john sea dogs vs halifax mooseheads details,1,2
RT alanthomasdoyle Eastern Canadians Unite Salad is trying to Kill us all We shall retaliate with Mary Browns in St John s Donairs ,Negative,alanthomasdoyle eastern canadians unite salad trying kill retaliate mary browns john donairs,0,4
RT chocoTaco Halifax giving ZnaferPUBG some competition chococlips chocoTaco PUBG PUBGclips ,Negative,chocotaco halifax giving znaferpubg competition chococlips chocotaco pubg pubgclips,0,1
My mom is okay they cleared the blockage She just has to go to Halifax tomorrow to have one more test done Tha ,Neutral,mom okay cleared blockage halifax tomorrow,2,2
RT RLitwiller OTD 18 2 1946 RememberRCN HMCHS Lady Nelson arrived in Halifax on final voyage as a hospital ship Since April 1943 she ,Negative,rlitwiller otd    rememberrcn hmchs lady nelson arrived halifax final voyage hospital ship april ,0,2
RT vocmhart Big confidence booster for downtown St John s John Steele moving ahead with new 80 room hotel space connected to Jag Hotel w ,Positive,vocmhart confidence booster downtown john john steele moving ahead  hotel space connected jag hotel,3,0
Halifax Thunderbirds New team honours history of lacrosse as Indigenous sport ,Negative,halifax thunderbirds team honours history lacrosse indigenous sport,0,1
RT millypod1 JAKEY Lost ScanMe Black German Shepherd Dog Male nr Sandowns Road Cousins Lane Illingworth Halifax Yorkshire HX2 RU ,Negative,millypod jakey lost scanme black german shepherd dog male nr sandowns road cousins lane illingworth halifax yorkshire hx ru,1,5
 WayeMason Rossitus nsgov I will fight to support this vision I talk frequently with my 93 year old grandmother ,Positive,wayemason rossitus nsgov fight support vision talk frequently  grandmother,2,0
Eastern Canadians Unite Salad is trying to Kill us all We shall retaliate with Mary Browns in St John s Donai ,Negative,eastern canadians unite salad trying kill retaliate mary browns john donai,0,4
All aboard RonMacLeanHTH and TaraSlone are taken aboard the HMCS Vancouver a Halifax class Canadian Patrol Frig ,Neutral,aboard ronmacleanhth taraslone aboard hmcs vancouver halifax class canadian patrol frig,2,2
After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations ,Neutral,wilson raybould cartoon halifax artist stop drawing women violent situations,2,2
 Now at the same time Thorne s bill allowed Warren County and Halifax counties to attempt to start new districts i ,Negative,time thorne bill allowed warren county halifax counties attempt start districts,1,2
RT HC Hurricanes MBBALL That s a wrap for basketball at the HC CCE for this season the CanesMBball take down the dalacrams by a sco ,Neutral,hc hurricanes mbball wrap basketball hc cce season canesmbball dalacrams sco,0,0
